"","Level 2 :","Medicae","","Level 17 :","Death Whisper","","Level 37 :","Lore Xenos","Lethal Concentration","","Helm","","Self-Calibrating Goggles","Self-Calibrating Goggles","Self-Calibrating Helm","","","Level 2 :","Medicae","","Level 17 :","Death Whisper","","Level 37 :","Awareness","Lethal Concentration","","Helm","Face of the soverign ","Self-calibrating Goggles","Self-calibrating Goggles / Weakness Detector","Self-calibrating Helm / Vivisector's Visor","","","Level 2 :","Medicae","","Level 17 :","Bait","","Level 37 :","Lore Xenos","Wind Currents","","Helm","Analyst Helm","Self-Calibrating Goggles","Self-Calibrating Goggles","Self-Calibrating Helmet","","","Level 2 :","Medicae","","Level 17 :","Claim the Bounty","","Level 37 :","Awareness","Withdraw","","Helm","Analyst's Hemet","Self-Calibrating Goggles","Self-Calibrating Goggles","Self-Calibrating Helm","","","Level 2 :","Medicae","","Level 17 :","Death Whisper","","Level 37 :","Lore Xenos","Lethal Concentration","","Helm","","Self-Calibrating Goggles","Self-Calibrating Goggles","Self-Calibrating Helm","","","Level 2 :","Medicae","","Level 17 :","Reckless Rush","","Level 37 :","Awareness","Distract","","Helm","Face of the Sovereign","Face of the Sovereign / Peripheral Visor","Face of the Sovereign / Peripheral Visor","Face of the Sovereign / Peripheral Visor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 3 :","Expose Weakness","","Level 18 :","Deadly Calculation","","Level 38 :","Ballistic Skill","Lethal Precision","","Armour","Death World Light Flak Armour","Death World Enforcer's Light carapace","Death World Enforcer's Light carapace","Death World Enforcer's Light carapace","","","Level 3 :","Endure","","Level 18 :","Deadly Calculation","","Level 38 :","Weapon Skill","Lethal Precision","","Armour","Death World Light Flak Armour","Death World Enforcer's Light carapace","Death World Enforcer's Light carapace","High Spinner Armour","","","Level 3 :","Expose Weakness","","Level 18 :","Disposition Analysis","","Level 38 :","Ballistic Skill","Lethal Precision","","Armour","","Death world Enforcer Light crapace","Death world Enforcer Light crapace","Hive world Origin Voidsmen Armour","","","Level 3 :","Expose Weakness","","Level 18 :","Hunting Surge","","Level 38 :","Ballistic Skill","Lethal Precision","","Armour","Death World Light Flak Armour","Headhunter Light Carapace","Ceramite Xenochestplate","Hive World Origin Voidsmen Armour","","","Level 3 :","Expose Weakness","","Level 18 :","Deadly Calculation","","Level 38 :","Ballistic Skill","Lethal Precision","","Armour","Death World Light Flak Armour","Death World Enforcer's Light carapace","Death World Enforcer's Light carapace","Death World Enforcer's Light carapace","","","Level 3 :","Death From Above","","Level 18 :","Always Ready","","Level 38 :","Weapon Skill","Power Armour Proficiency","","Armour","Light Spinner's breastplate","Spinner's Breastplate","Spinner's Breastplate","Adherent of Mankind","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 4 :","Dismantling Attack","Uncanny Sight","Level 19 :","Dispatch","","Level 39 :","Intimidation","Lore Xenos","","Cloak","","","","","","","Level 4 :","Daring Breach","Desolation","Level 19 :","Dispatch","","Level 39 :","Taunting Scream","Awareness","","Cloak","","Malpian Shroud","Malpian Shroud","Swashbuckler's Cloak / Malpian Shroud","","","Level 4 :","Dismantling","Uncanny Sight","Level 19 :","Overcharge","","Level 39 :","Precise Attack","Lore Xenos","","Cloak","","Cape of righteous fury","Cape of righteous fury","Shadow Guide cloak","","","Level 4 :","Dismantling Attack","Tide of Excellence","Level 19 :","Wild Hunt","","Level 39 :","Precise Attack","Awareness","","Cloak","Von Valacius Cloak","Cape of righteous fury","Cape of righteous fury","Cape of righteous fury","","","Level 4 :","Dismantling Attack","Uncanny Sight","Level 19 :","Dispatch","","Level 39 :","Intimidation","Lore Xenos","","Cloak","","","","","","","Level 4 :","Death Waltz","Death Warden","Level 19 :","Steady Superiority","","Level 39 :","Captive Audience","Medicae","","Cloak","Reaper Cape","Malpian Shroud / Bladedancer's Mantle","Malpian Shroud / Bladedancer's Mantle","Malpian Shroud / High Spinner Cloak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 5 :","Ballistic Skill","Never Stop Believing","Level 20 :","AP +1","Ballistic Skill","Level 40 :","Deathdealer","Seize the Advantage","","Neck","Hypnotising Pendant","Hypnotising Pendant / Dog Tags","Hypnotising Pendant / Dog Tags","Dashing Aquila / Dog Tags","","","Level 5 :","Rigorous Training","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Lethal Threat","Perfect Opening","","Neck","","Invigorating Resolve","Invigorating Resolve","Slicing Symbol / Invigorating Resolve","","","Level 5 :","Ballistic Skill","Characteristic Training: Agi","Level 20 :","AP +1","Ballistic Skill","Level 40 :","Masterful Precision","Bloody Mark","","Neck","Hypnotising Pendant","Hypnotising Pendant","Hypnotising Pendant","Hypnotising Pendant","","","Level 5 :","Ballistic Skill","Never Stop Believing","Level 20 :","AP +1 - Ballistic Skill","Contingency Plan","Level 40 :","Deathdealer","Pierce the Armour","","Neck","Hypnotising Pendant","Dog Tag","Dog Tag","Synaptic Coagulator","","","Level 5 :","Ballistic Skill","Never Stop Believing","Level 20 :","AP +1","Ballistic Skill","Level 40 :","Deathdealer","Seize the Advantage","","Neck","Hypnotising Pendant","Hypnotising Pendant / Dog Tags","Hypnotising Pendant / Dog Tags","Dashing Aquila / Dog Tags","","","Level 5 :","Duelling Mastery","Weapon Skill","Level 20 :","Ap +1","Weapon Skill","Level 40 :","Destroyer","Exploit Weakness","","Neck","","Invigorating Resolve / Dog Tags","Invigorating Resolve / Dog Tags","Invigorating Resolve / Dog Tags","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 6 :","Tide of Excellence","Ballistic Skill","Level 21 :","Imminent Demise","Ballistic Skill","Level 41 :","Ballistic Skill","Continuous Analysis","","Accessory 1","Metronome","Pair Holster","Pair Holster","Pair Holster","","","Level 6 :","Break Through","Awareness","Level 21 :","Imminent Demise","Weapon Skill","Level 41 :","Weapon Skill","Easy Target","","Accessory 1","Blooddrinker","","Iron Cape","Notes on Weaknesses","","","Level 6 :","Tide of Excellence","Ballistic Skill","Level 21 :","Rite of Calibration","Ballistic Skill","Level 41 :","Ballistic Skill","Comprehensive analysis","","Accessory 1","","Target Designator","Long Range Lens","Bead of might","","","Level 6 :","Uncanny Sight","Ballistic Skill","Level 21 :","Ballistic Skill","Heightened Concentration","Level 41 :","Ballistic Skill","Insightful Precision","","Accessory 1","Metronome","Target Designator","Litany of Exhausion","Litany of Exhausion","","","Level 6 :","Tide of Excellence","Ballistic Skill","Level 21 :","Imminent Demise","Ballistic Skill","Level 41 :","Ballistic Skill","Continuous Analysis","","Accessory 1","Metronome","Metronome / Pair Holster","Pair Holster","Pair Holster","","","Level 6 :","Blood Oath","Medicae","Level 21 :","Flashfire","Weapon Skill","Level 41 :","Weapon Skill","Grand Performance","","Accessory 1","Blooddrinker","Blooddrinker / Combat Manipulator","Combat Manipulator","Voidborn's Pride / Military Combi-Tool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 7 :","Perfect Spot","Lore Xenos","Level 22 :","Lore Xenos","Killing Edge","Level 42 :","Poised to Strike","Perception","","Accessory 2","","Enemy Finder","Iron Cape","Notes on weaknesses","","","Level 7 :","Weapon Skill","Killing Plan","Level 22 :","Lore Xenos","Killing Edge","Level 42 :","Elusive Shadow","Agility","","Accessory 2","","","Litany of Exhaustion","Iron Cape / Litany of Exhaustion","","","Level 7 :","Joint Analysis","Lore Xenos","Level 22 :","Strategic Adaptation","Lore Xenos","Level 42 :","Strafe","Intelligence","","Accessory 2","","Portable Motive Force Storage","Portable Motive Force Storage","Portable Motive Force Storage","","","Level 7 :","Perfect Spot","Awareness","Level 22 :","Cull the Bold","","Level 42 :","Hot on the Trail","Intelligence","","Accessory 2","Book of Warprayers","Portative Manipulator","Prey Scanner","Prey Scanner","","","Level 7 :","Perfect Spot","Lore Xenos","Level 22 :","Lore Xenos","Killing Edge","Level 42 :","Poised to Strike","Perception","","Accessory 2","","Enemy Finder","Iron Cape","Notes on weaknesses","","","Level 7 :","Weapon Skill","Blood Rush","Level 22 :","Wild Fire","Drukhari Weapon Proficiency","Level 42 :","Kick","Agility","","Accessory 2","Book of war prayers","Seal of Death","Seal of the Purifier","Bead of Might","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 8 :","Ballistics Calculation","Staggering Jolt","Level 23 :","Lethality Heightens","","Level 43 :","Flawless Lunge","Residual Power","","Gloves","Stalker Gloves","Marksman Bracers","Marksman Bracers","Marksman Bracers","","","Level 8 :","Awareness","Shearing Strikes","Level 23 :","Lethality Heightens","","Level 43 :","Lone Killer","Calculated Resolve","","Gloves","Gloves of Endurance","Augmented Gloves","Riposte Gloves / Augmented Gloves","Riposte Gloves / Augmented Gloves","","","Level 8 :","Sharpshooter","Never Stop Believing","Level 23 :","Sharpened Talons","","Level 43 :","Suppressive factor","Residual Power","","Gloves","Stalker Gloves","Marksman Bracers","Marksman Bracers","Marksman Bracers","","","Level 8 :","Ballistic Calculation","Killing Plan","Level 23 :","Hunter's Ambush","Lore Xenos","Level 43 :","Trail and Shatter","Calculated Resolve","","Gloves","Stalker Gloves","Kasrkin Gauntlets","Marksman Bracers","Marksman Bracers","","","Level 8 :","Ballistics Calculation","Killing Plan","Level 23 :","Lethality Heightens","","Level 43 :","Flawless Lunge","Residual Power","","Gloves","Stalker Gloves","Marksman Bracers","Marksman Bracers","Marksman Bracers","","","Level 8 :","Awareness","Killing Plan","Level 23 :","Medicae","All out","Level 43 :","Martial Art","Lethal Precision","","Gloves","","Augmented Gloves","Augmented Gloves","Augmented Gloves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 9 :","Dismantling Attack III","Lore Xenos","Level 24 :","Intelligence","Liturgy of Insulation","Level 44 :","Lore Imperium","Contagion","","Boots","Warmonger Boots","Warmonger Boots","Sharpshooter's Boots","Sharpshooter's Boots","","","Level 9 :","Daring breach II","","Level 24 :","Agility","Drukhari Weapon Proficiency","Level 44 :","Athletics","Degraded Defence","","Boots","Smirkisher Boots","Inertia Boots","Inertia Boots","Inertia Boots / Stalking Boots","","","Level 9 :","Dismantling III","Lore Xenos","Level 24 :","Intelligence","Aeldari Weapon Prof","Level 44 :","Lore Imperium","Degraded Defence","","Boots","","Ergo Boots","Sharpshooter Boots","Sharpshooter Boots","","","Level 9 :","Dismantling III","Awareness","Level 24 :","Perception","Aeldari Weapon Proficiency","Level 44 :","Lore Xenos","Degraded Defence","","Boots","Warmonger Boots","","Sharpshooter Boots","Sharpshooter Boots","","","Level 9 :","Dismantling Attack III","Lore Xenos","Level 24 :","Intelligence","Aeldari Weapon Proficiency","Level 44 :","Lore Imperium","Contagion","","Boots","Warmonger Boots","Warmonger Boots","Sharpshooter's Boots","Sharpshooter's Boots","","","Level 9 :","Death Waltz II","","Level 24 :","Agility","Finesse","Level 44 :","Medicae","Degraded Defence","","Boots","Skirmisher Boots","Inertia Boots","Inertia Boots","Inertia Boots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 10 :","Lore Imperium","Perception","Level 25 :","Perfect Opening","","Level 45 :","Ap +1","","","Weapon Set 1","Arc Rifle","Alpha's Arc Rifle","Alpha's Arc Rifle","Corpuscarii Oath","","","Level 10 :","Blade Flurry","Agility","Level 25 :","Killing Spree","","Level 45 :","AP +1","","","Weapon Set 1","Prisoner's Shank","Interrogators Dagger / Hekatarii Blade ","Interrogators Dagger / Serrated Glimmersteel Blade","Interrogators Dagger / Lilaethan's Fury","","","Level 10 :","Lore Imperium","Agility","Level 25 :","Tenacious Talons","","Level 45 :","AP +1","","","Weapon Set 1","","Cruel Fate","Cruel Fate","Cruel Fate","","","Level 10 :","Lore Xenos","Perception","Level 25 :","Expert Finesse","","Level 45 :","AP + 1","","","Weapon Set 1","Longlas","Curel Fate","Curel Fate","Lullaby of Sha'eil","","","Level 10 :","Lore Imperium","Perception","Level 25 :","Perfect Opening","","Level 45 :","Ap +1","","","Weapon Set 1","Longlas","Cruel Fate","Lullaby of Sha'eil / Cruel Fate","Lullaby of Sha'eil / Cruel Fate","","","Level 10 :","Escape Artist","Agility","Level 25 :","Dismantle","","Level 45 :","AP +1","","","Weapon Set 1","Noble Sword","Severed Hand","Sharpened Venom Blade","Imminent Torment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 11 :","Fresh Target","Lore Imperium","Level 26 :","Intelligence","Lore Xenos","Level 46 :","Comprehensive Analysis","Lore Imperium","","","","","","","","","Level 11 :","Reckless Strike","Contingency Plan","Level 26 :","Agility","Awareness","Level 46 :","Ramming Speed","Athletics","","","Bloody Pact","Hekatarii Blade ","Hekatarii Blade of Bloodthirst","Hekatarii Blade of Bloodthirst","","","Level 11 :","Ballistic Calculations","Lore Imperium","Level 26 :","Intelligence","Lore Xenos","Level 46 :","Continuous Analysis","Lore Imperium","","","","","","","","","Level 11 :","Fresh Target","Lore Xenos","Level 26 :","Lore Xenos","Perception","Level 46 :","Continuous Analysis","Lore Xenos","","","","","","","","","Level 11 :","Fresh Target","Lore Imperium","Level 26 :","Intelligence","Lore Xenos","Level 46 :","Comprehensive Analysis","Lore Imperium","","","","","","","","","Level 11 :","Acrobatic Artistry","Guillotine","Level 26 :","Medicae","Agility","Level 46 :","Rising Tempo","Awareness","","","Wrath of Saint Drusus","Exotic Venom Blade","Blackhaze Venom Blade","Imminent Torment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 12 :","Tactical Knowledge","Echopulse","Level 27 :","Dispatch II","","Level 47 :","Sniper Expertise","medicae","","Weapon Set 2","Blast Wave","Promise of Retribution","Promise of Retribution","Promise of Retribution","","","Level 12 :","Agility","Athletics","Level 27 :","Dispatch II","","Level 47 :","Impetus","Medicae","","Weapon Set 2","","","Bloodseeker Klaive","Djin Blade of Yremeryss","","","Level 12 :","Perfect Spot","Killing Plan","Level 27 :","Overcharge II","","Level 47 :","Insightful precision","Medicae","","Weapon Set 2","","Wonderer's portent","Ynnealith","Lullaby of Sha'eil","","","Level 12 :","Tactical Knowledge","Familiar Kickback","Level 27 :","Wild Hunt II","","Level 47 :","Comprehensive Analysis","Lore Imperium","","Weapon Set 2","Blast Wave","Wanderer's Portent","Wanderer's Portent","Fusion Gun 'Spark'","","","Level 12 :","Tactical Knowledge","Familiar Kickback","Level 27 :","Dispatch II","","Level 47 :","Sniper Expertise","medicae","","Weapon Set 2","Blast Wave","Wonderer's Portant / Promise of Retribution","Promise of Retribution","Promise of Retribution","","","Level 12 :","Agility","Awareness","Level 27 :","Steady Superiority IV","","Level 47 :","Duellist","Demolition","","Weapon Set 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 13 :","Improved Tactics","Intelligence","Level 28 :","Overclocking Module","Killing Spree","Level 48 :","Create an Opening","Perception","","","","Promise of Freedom","Promise of Freedom","Promise of Freedom","","","Level 13 :","Cautious Disengage","Athletics","Level 28 :","Finesse","Disarray","Level 48 :","An Eye for the Unscathed","Agility","","","","","","Insatiable Djin Blade","","","Level 13 :","Sniper Expertise","Agility","Level 28 :","Enhanced Augmetics","Deadly Accuracy","Level 48 :","Disorienting Plan","Intelligence","","","","","","","","","Level 13 :","Improved Tactics","Intelligence","Level 28 :","Inspiring Trophy","","Level 48 :","Share the Spoils","Intelligence","","","","","","","","","Level 13 :","Improved Tactics","Intelligence","Level 28 :","Deadly Accuracy","Killing Spree","Level 48 :","Create an Opening","Perception","","","","Promise of Freedom","Promise of Freedom","Promise of Freedom","","","Level 13 :","Base Skill: Lore Xenos","Lore Xenos","Level 28 :","Awareness","Adaptability","Level 48 :","Preferred Targets","Agility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 14 :","Intelligence","Residual Charge","Level 29 :","Perception","Lore Imperium","Level 49 :","Intelligence","medicae","","","","","","","","","Level 14 :","Perception","Escape Plan","Level 29 :","Perception","Athletics","Level 49 :","Perception","Medicae","","","","","","","","","Level 14 :","Perception","Grenadier","Level 29 :","Perception","Lore Imperium","Level 49 :","Perception","Medicae","","Pet Protocols","","","","","","","Level 14 :","Intelligence","Disorienting Plan","Level 29 :","Awareness","Intelligence","Level 49 :","Perception","Lore Imperium","","","","","","","","","Level 14 :","Intelligence","Spare Magazine","Level 29 :","Perception","Lore Imperium","Level 49 :","Intelligence","medicae","","","","","","","","","Level 14 :","Perception","Sweeping Motions","Level 29 :","Perception","Contingency Plan","Level 49 :","Toughness","Demolition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 15 :","Dismantling II","","Level 30 :","Danse Macabre","","Level 50 :","Degraded Defence","Passive Learning","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Daring Breach IV","","Level 30 :","Danse Macarbe","","Level 50 :","Extermination","Living Shield","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Dismantling II","","Level 30 :","Blinding Strike","","Level 50 :","Deadly Aim","weak body, weak soul","","","","","","","","","Level 15 :","Dismantling II","","Level 30 :","Combat Addict","Piercing Shot","Level 50 :","Vital Points","Sniper Expertise","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Dismantling II","","Level 30 :","Danse Macabre","","Level 50 :","Masterful Precision","Passive Learning","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Death Waltz III","","Level 30 :","Devastating Attack","","Level 50 :","Extermination","It Takes Two","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 31 :","Killing Plan","Bringer of Doom","Level 51 :","An Eye for the unscathed","medicae","","","Weapon Optimiser MKI","","","","Adaptive Servo-Struts MK 'Operative'","Act 2","","","","Level 31 :","Dual Weapon Combat","Seize the Advantage","Level 51 :","Bringer of Doom","Medicae","","Focal Emitter MK-I","Weapon Optimiser MK-I","","","","","Act 2","","","","Level 31 :","Emergency Protocol","Familiar Kickback","Level 51 :","The Last Plan","Medicae","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","","","","Level 31 :","Pierce and Ruin","","Level 51 :","Flay the Bold","Lore Imperium","","Ballistic Calculator","Weapon Optimiser MKI","Cerebral Inverter MKI","","","Adaptive Servo-Struts MK Operative","Act 2","","","","Level 31 :","Contingency Plan","Bringer of Doom","Level 51 :","An Eye for the unscathed","medicae","","Ballistic Calculator","Weapon Optimiser MKI","Cerebral Inverter MKI","","","Adaptive Servo-Struts MK Operative","","","","","Level 31 :","Breaking Attack","","Level 51 :","Contempt for the Weak","Demolition","","Focal Emitter MK-I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 32 :","Lore Imperium","","Level 52 :","Lone Killer","Calculated Resolve","","Cerebral Holo-Ocular MK 'Operative'","Weapon Optimiser MKI","Telemetric Logis-Analyser MK-I","","","Adaptive Servo-Struts MK 'Operative'","Act 3","","","","Level 32 :","Athletics","","Level 52 :","Outsmart","Residual Power","","Focal Emitter MK-I","Weapon Optimiser MK-I","Telemetric Logis-Analyser MK-I","Pneumatic Assault Grapple MK 'Warrior'","","","Act 3","","","","Level 32 :","Perception","Lore Imperium","Level 52 :","Combat Insight ","Calculated Resolve","","Ballistic Calculator","Weapon Optimiser MKI","Cerebral Inverter MKI","","","Adaptive Servo-Struts MK Operative","Act 2","","","","Level 32 :","Intelligence","Awareness","Level 52 :","Weak Body, Weak Soul","Residual Power","","Ballistic Calculator","Weapon Optimiser MKI","Cerebral Inverter MKI","","","Adaptive Servo-Struts MK Operative","Act 3","","","","Level 32 :","Lore Imperium","","Level 52 :","Lone Killer","Calculated Resolve","","Ballistic Calculator","Weapon Optimiser MKI","Cerebral Inverter MKI","","","Adaptive Servo-Struts MK Operative","","","","","Level 32 :","Perception","Awareness","Level 52 :","Race Against Death","It Will Not DIe","","Focal Emitter MK-I","","","","","Skullcrushers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 33 :","Disarray","Perception","Level 53 :","Precise Attack","Intelligence","","Cerebral Holo-Ocular MK 'Operative'","Weapon Optimiser MKII","Telemetric Logis-Analyser MK-II","","","Adaptive Servo-Struts MK 'Operative'","Act 4","","","","Level 33 :","Morbid pirouette","Perception","Level 53 :","Sworn Enemy","Perception","","Focal Emitter MKII","Weapon Optimiser MK-II","Telemetric Logis Analyser MKII","Pneumatic Assault Grapple MK 'Assassin'","Chymist Combat Infuser","Phase Oscillator MK-II","Act 4","","","","Level 33 :","Swift Shadow","","Level 53 :","Tactical Knowledge","Perception","","Ballistic Calculator","Weapon Optimiser MKI","Cerebral Inverter MKI","","","Adaptive Servo-Struts MK Operative","Act 3","","","","Level 33 :","Savour the kill","","Level 53 :","Joint Analysis","Perception","","Ballistic Calculator","Weapon Optimiser MKII","Cerebral Inverter MK Operative","","","Adaptive Servo-Struts MK Operative","Act 4","","","","Level 33 :","Disarray","Perception","Level 53 :","Precise Attack","Intelligence","","Ballistic Calculator","Weapon Optimiser MKII","Cerebral Inverter MK Operative","","","Adaptive Servo-Struts MK Operative","","","","","Level 33 :","Critical Versatility","Perception","Level 53 :","Veil of Blades","Toughness","","Focal Emitter MK-II","","","","","Skullcrushers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 34 :","Familiar Kickback","","Level 54 :","Extermination","Insightful Precision","","","","","","","","Act 5","","","","Level 34 :","Aeldari Weapon Proficiency","","Level 54 :","Peak Condition","Esquive","","","","","","","","Act 5","","","","Level 34 :","Spare Magazine","","Level 54 :","Extermination","Improved Tactics","","Ballistic Calculator","Weapon Optimiser MKII","Cerebral Inverter MK Operative","","Reactive Flamer","Adaptive Servo-Struts MK Operative","Act 4","","","","Level 34 :","Spare Magazine","","Level 54 :","Extermination","Combat Insight","","","","","","","","Act 5","","","","Level 34 :","Grenadier","","Level 54 :","Extermination","Insightful Precision","","","","","","","","","","","","Level 34 :","Toughness","Escape Plan","Level 54 :","Eager for Battle","Accustomed to Glory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 35 :","Dispatch I","","Level 55 :","Ap +1","","","","","","","","","","","","","Level 35 :","Dispatch III","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Overcharge III","","Level 55 :","AP +1","","","","","","","","","Act 5","","","","Level 35 :","Wild Hunt III","","Level 55 :","AP + 1","","","","","","","","","","","","","Level 35 :","Dispatch I","","Level 55 :","Ap +1","","","","","","","","","","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Arbites Gunner","","","","","","","","","","Skill Options","","","","","","","The Paw Patrol","","","","","","","","","","Skill Options","","","","","","","Judge Death","","","","","","","","","","Skill Options","","","","","","","Judge Dreadd (Basically the dark tide Arbitrator now)","","","","","","","","","","Skill Options","","","","","","","Kennel Master (Heretic Officer Overseer)","","","","","","","","","","Skill Options","","","","","","","The Tax Man (Update and rework of the old mandalorian build)","","","","","","","","","","Skill Options","","","","","","","Judge, Jury & Electrocutioner","","","","","","","","","","Skill Options","","","","","","","","","","","","","","","","","","","","","",""
"","Fortress world - Arbitrator (Vigilant) - Soldier - BS +2 / Agility +2 / Perception +2 - Heavy Gunner, shotgun build (Artificer power armour for 1 ap burst fire)","","","","","","","","","","Coercion / Demolition / Awareness","","","","","","","Forge World (Subskin Armour) - Arbitrator (Subductor) - WS +2 / STR +2 / TGH +2","","","","","","","","","","Coercion / Athletics / Carouse","","","","","","","Fortress World - Arbitrator (Castigator) - Operative - Ballistic Skill +2 / Agillity +2 / Intelligence +1 / Perception +1","","","","","","","","","","Coercion / Intelligence Skills / Awareness","","","","","",""," Fortress world - Arbitrator (Vigilant) - Soldier - BS +2 / Agility +2 / Perception +2","","","","","","","","","","Demolitions / Awareness / Coercion","","","","","","","Fortress World - Arbitrator (Castigator) - Officer - Ballistic Skill +2 / Agility +2 / Fellowship +2","","","","","","","","","","Demolitions / Awareness / Coercion","","","","","","","Fortress world - Arbitrator (Vigilant) - Soldier - BS +2 / Agility +2 / Perception +2","","","","","","","","","","Demolitions / Awareness / Coercion","","","","","","","Voidborn - Arbitrator (Castigator) - Operative - Ballistic Skill +2 / Agility +2 / Intelligence +2","","","","","","","","","","Coercion / Lore Imperium / Intelligence / Fellowship","","","","","","","","","","","","","","","","","","","","","",""
"","Soldier","","","Arch-Militant","","","Exemplar","","","","","","","","","","","Warrior","","","Overseer","","","Exemplar","","","","","","","","","","","Operative","","","Bounty Hunter","","","Exemplar","","","","","","","","","","","Soldier","","","Overseer","","","Exemplar","","","","","","","","","","","Officer","","","Overseer","","","Exemplar","","","","","","","","","","","Soldier","","","Bounty Hunter","","","Exemplar","","","","","","","","","","","Operative","","","Assassin","","","Exemplar","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 1 :","Run and Gun","","Level 16 :","Versitility","","Level 36 :","Peak Condition","Rapid Reload","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Charge","","Level 16 :","Cyber-Mastiff Proficiency","","Level 36 :","Peak Condition","Easy Target","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Analyse Enemies","","Level 16 :","Hunt Down The Prey","","Level 36 :","Deathdealer","Sharpshooter","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Run and Gun","","Level 16 :","Cyber-Mastiff Proficiency","","Level 36 :","Degraded Defence","Rapid Reload","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Voice Of Command","","Level 16 :","Cyber-Mastiff Proficiency","","Level 36 :","Firebrand","No Respite","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Run and Gun","","Level 16 :","Hunt Down The Prey","","Level 36 :","Degraded Defence","Rapid Reload","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Analyse Enemies","","Level 16 :","Seek the Opening","","Level 36 :","Malign Influence","Weak Body, Weak Soul","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","","","","","","","","","","","","","","","",""
