"","https://roguetrader.wh40k.wiki/Trading Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor"
"","Sharp Shot Stimulant","Malice / Commissar","","3","","","Swashbuckler's Goggles","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Pungent Smokle Grenade x3","Malice / Commissar","","3","","","PRey Scanner","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","[Retobi-Pattern] Plasma Gun","Malice / Commissar","","3","","","Haemonculus's Injector x2","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Aeldari Flexi-Armour","Malice / Commissar","","3","","","Ossificator x2","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Gladiator's Healing Kit x6","Shrieker's Arsenal","","3","","","Wraithbone Grenade","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Skin Patches x6","Shrieker's Arsenal","","3","","","Renunciation of Weakness","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Shard of Bloodstone","Shrieker's Arsenal","","3","","","Craftworld Power Sword","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Duelling Sword","Shrieker's Arsenal","","3","","","Astartes Plasma Pistol","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","[Retobi-Pattern] Plasma Gun","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Gladiator Mesh Armour","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Intendant Boots","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Soldier Aquila Pendant","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Commander's Notes","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Aeldari Ranger Armour","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Aeldari Flexi-Armour","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Serrated Glimmersteel Blade","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sworddancer Cloak","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Combat Shotgun","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Flamer","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sharpshooter Boots","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Headhunter Light Carapace","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Iron Shield","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","[Mars-Pattern] Shotgun","Shrieker's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Corruption Eradicator Helmet","Commissar Chest","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Honour Insignia","Commissar Chest","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Seal of the Purifier","Commissar Chest","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Commissar Flak Breastplate","Commissar Chest","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Battle Plan","Commissar Chest","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Lasblaster","Malice Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Shard Shotgun","Malice Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Splinter Cannon","Malice Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","[Ryza-Pattern] Meltagun","Commissar's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","[Ryza-Pattern] Thunder Hammer","Commissar's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Luck Thickener","Commissar's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Warp Reflex Ring","Commissar's Arsenal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
