"Pet Protocols Consumables Weapons Name Pistols (light, 1h) Name Autopistol Corrupted Inferno Pistol Las Pistol [Mezoa] Bolt Pistol Foehammer Precise LasPistol Ripper Autopistol Stub Revolver","https://roguetrader.wh40k.wiki/Category:Pet_Protocol https://roguetrader.wh40k.wiki/Category:Consumable https://roguetrader.wh40k.wiki/Category:Weapon DMG DMG 3-4 10-16 6-8 8-12 9-14 6-8 3-5 7-11","AR PEN AR PEN 5 50 5 15 10 10 10 15","RoF RoF 6 1 2 4 1 4 8 2","Recoil Recoil ","Range Range 5-10 4-8 5-10 6-12 3-6 5-10 5-10 6-12","Ammo Ammo 12 3 20 4 6 30 16 6","Type Type Solid Melta Las Bolt Solid Las Solid Solid","Description Description Heretical 15+ Only. No proficiency required. Standard Inferno pistol benefits including 1AP attacks vs Meltas standard 2 Shotgun pistol. Actually only use 1AP despite tooltip Dead Eye Shot ","Where Where Common Prologue Pick Heretic Choice  Common starting Prologue Mechanicus 1 Prison Prison  Eurac V Prison ","Acts Acts 0 0 0 1 1 1 1 1","","","","","","","","","","","","","","","","","","",""
"Name","DMG","AR PEN","RoF","Recoil","Range","Ammo","Type","Description","Where","Acts","STR Requirement","","","","","","","","","","","","","","","","","",""
"Bringer of Terror","6-9","20","8","40","12","96","Bolt","Requires Heretical Follower","Rykad Minoris Aurora (Word Bearer) loot","1","60","","","","","","","","","","","","","","","","","",""
"Stolen Auto Canon","4-6","20","8","50","8-16","100","Solid","","Freight Line ","1","55","","","","","","","","","","","","","","","","","",""
"Stolen autocannon","4-6","20","8","50","8-16","100","Solid","-","Void Shadows DLC - Freight line, in the crates behind the old man near the vat","1","","","","","","","","","","","","","","","","","","",""
"Cal. Heavy Stubber","3-6","5","12","","9-18","156","Solid","Burst fire cost 2AP vs standard 3","Kasballica 7. PF35","2","60","","","","","","","","","","","","","","","","","",""
"Heavy Bolter","6-10","25","8","","12-24","96","Bolt","","Drusian 3. PF.25","2","60","","","","","","","","","","","","","","","","","",""
"Heavy Flamer","18-26","10","1","","5-10","3","Flame","","Drusian 11. PF32","2","50","","","","","","","","","","","","","","","","","",""
"Heavy Stubber","4-7","15","10","40","9-18","120","Solid","","Litorium Maledicta System - Lost in the Void ","2","55","","","","","","","","","","","","","","","","","",""
"Multi-Melta","21-28","60","1","","4-8","4","Melta","Heavy Melta. 3 AP cost to fire","Dargonus Palace","2","55","","","","","","","","","","","","","","","","","",""
"Fiery Retrubution","16-24","10","1","","5-10","3","Flame","Has new AOE attack that sets ground on fire for 1 round / burning 10","Shrine Ambush ","2","50","","","","","","","","","","","","","","","","","",""
"Fiery Retribution","16-24","10","1","0","5-10","3","Heavy Flamer","This heavy Flamer allows you to perform an additional area attack called Searing Retribution.","Shrine fight ","2","","","","","","","","","","","","","","","","","","",""
"Equalizer","5-7","15","10","35","9-18","120","Solid","This weapon deals bonus damage equal to the enemy's rank.","(Lex Imperialis DLC) Vheabos colony decision, requires Solomorne","2","","","","","","","","","","","","","","","","","","",""
"Life Sunderer","5-6","10","9","40","12","96","Exotic/Drukhari","50% overpenetration, deals toxic damage","Mangled Sector - Chtonos","3","60","","","","","","","","","","","","","","","","","",""
"Dark Lance","26-39","60","1","","10-20","1","Drukhari/Las","Line area attack, 2AP to fire","Tervintas Ambush","3","","","","","","","","","","","","","","","","","","",""
"Splinter Cannon","5-6","10","9","40","12-24","96","Exotic/Drukhari","","","3","60","","","","","","","","","","","","","","","","","",""
"Violent Splinter Cannon","8-12","20","8","50","8-16","96","Exotic/Drukhari","","","3","60","","","","","","","","","","","","","","","","","",""
"Piercing Splinter Cannon","5-6","35","7","40","12-24","96","Exotic/Drukhari","","","3","60","","","","","","","","","","","","","","","","","",""
"Shuriken Canon","4-7","10","11","40","18-36","144","Exotic/Aeldari","","Spire, Killing Tervantias","3","60","","","","","","","","","","","","","","","","","",""
"Improved Heavy Bolter","12-18","25","6","35","12-24","60","Bolt","Each kill increase this weapon RoF by 1","Void 37. PF129","4","","","","","","","","","","","","","","","","","","",""
"Judex","40-44","10","1","","5-10","3","Flame","If target hit by attack already suffer from burning, target explodes inflicting burning of same lvl on enemies with 3 cell radius. Must pass WP -15 check or fall unconscious for 1 round","Drusian rep28. pf95","4","","","","","","","","","","","","","","","","","","",""
"Advanced heavy Stubber","10-11","20","10","50","10-20","80","Solid","A hit from this weapon instantly destroys destructible cover. Both destructible and indestructible cover are automatically penetrated.","(Lex Imperialis DLC) Explorators","4","","","","","","","","","","","","","","","","","","",""
"Righteous anger","9-12","20","5","50","10-20","120","Solid","When firing a burst from this weapon, the character's rate of fire increases by 2 (maximum increase is +10). This increase stacks and lasts until the end of the battle.","(Lex Imperialis DLC) Tithe World, kill the Arbites Proctor","4","","","","","","","","","","","","","","","","","","",""
"Rune-Carved Shuriken Cannon","6-7","20","12","50","18-36","144","Exotic/Aeldari","","Footfall sewers","4","55","","","","","","","","","","","","","","","","","",""
"Gaze of The void","45-55","80","`","","10-20","1","Exotic/Drukhari","This weapon's attacks project additional rays, each dealing 30 energy damage to 3 random enemies in 10 cell radius around the primary target","","5","50","","","","","","","","","","","","","","","","","",""
"Heavy Enforcer Autocannon","10-11","20","7","50","12-24","100","Solid","Targets hit must pass -10 TGH resistance or be pushed 2 cells away ","AN#8954no01-KT system - space combat","5","55","","","","","","","","","","","","","","","","","",""
"Eruption","45-60","90","1","","4-8","1","Melta","Heavy Melta. 3 AP cost to fire, All targets hit by this weapon's area attack deal 25 energy damage to everyone in a 2 cell radius","Tomb world Epitaph - RT heretic copy ","5","55","","","","","","","","","","","","","","","","","",""
"Improved Heavy Bolter","12-18","25","6","35","12-24","60","Bolt","Each kill with this weapon increases its rate of fire by +1","Tomb world Epitaph - RT dogmatic copy ","5","75","","","","","","","","","","","","","","","","","",""
"Plasma (Overcharge Mechanics added in 1.5)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Name","DMG","AR PEN","RoF","Recoil","Range","Ammo","Type","Description","Where","Acts","","","","","","","","","","","","","","","","","","",""
"Plasma Pistol","9-13","30","1","","8-16","16","Plasma","","Tech Trader  2","1","","","","","","","","","","","","","","","","","","",""
"Plasma Gun","11-15","35","1","","10-20","16","Plasma","","B4 Aurora Rykad Minoris","1","","","","","","","","","","","","","","","","","","",""
"[Retobi] Plasma Pistol","15-19","40","1","","8-16","16","Plasma","","Mechanicus 6. PF 26","2","","","","","","","","","","","","","","","","","","",""
"Heavy Plasma Gun","18-23","45","1","","10-20","16","Plasma","","Mechanicus 12. PF40","2","","","","","","","","","","","","","","","","","","",""
"[Mezoa] Plasma Gun","20-35","55","1","30","10-20","16","Plasma","","Kiava Gama: Killing Dementz","2","","","","","","","","","","","","","","","","","","",""
"The Dark Marchesa","18-23","45","1","30","10-20","16","Plasma","The character gains 1 level of the Marchesa's Thirst effect when scoring a critical hit with this weapon, and 3 levels when killing with it. After accumulating 5 levels, the character gains an additional attack until the end of the turn. When the effect is activated, all damage is negated.","Kieva Gamma - blessed are the gun smiths","2","","","","","","","","","","","","","","","","","","",""
"Plasma pistol ""Procyon B""","14-20","35","1","30","8-16","13","Plasma","This pistol does not trigger Plasma explosion, but its Overheat attack cost is increased by (number of Plasma Chamber Overheat levels / 2) AP.","Kieva Gamma","","","","","","","","","","","","","","","","","","","",""
"The Glow of the Dead Stars","22-30","55","1","30","10-20","16","Plasma","The plasma explosion from this weapon hits targets within a 2-tile radius. The damage dealt by the explosion changes to warp damage for all targets except the character.","Kieva Gamma","2","","","","","","","","","","","","","","","","","","",""
"[Retobi-Pattern] Plasma Gun","23-32","50","1","30","10-20","16","Plasma","","Looting Shrieker Arsenal post taking over Den","3","","","","","","","","","","","","","","","","","","",""
"Stella Neutrona","32-42","45","1","30","10-20","16","Plasma","The chance of a through penetration is increased by 50%. Upon a successful through penetration, weapon damage is dealt without penalty.","Near the commissar","3","","","","","","","","","","","","","","","","","","",""
"Plasma pistol ""Procyon A","18-23","40","1","30","8-16","13","Plasma","If the character is a Tech-Priest or uses another plasma weapon in the same loadout, then overheat attacks from that weapon cost 1 less AP.","Near the commissar","3","","","","","","","","","","","","","","","","","","",""
"[Sol-Pattern] Plasma Pistol","25-39","50","1","","8-16","16","Plasma","","Emperor's Plan system - Eufrates II","4","","","","","","","","","","","","","","","","","","",""
"Overcharged Plasma Gun","40-45","45","1","30","10-20","16","Plasma","Only deals overcharge attacks. Dmg increase by (5 x BSb). Explosion deals 2x more dmg and 15% chance more like","Drusian Rep 18, pf 65","4","","","","","","","","","","","","","","","","","","",""
"Ancient Plasma Rifle","30-45","30","1","30","10-20","16","Plasma","Adds + 2 x INT base dmg ","Explorators 27. pf 116","4","","","","","","","","","","","","","","","","","","",""
"Ragefire Plasma Gun","34-46","50","1","30","10-20","16","Plasma","If the character has 2 or more levels of Plasma Chamber Overheat, this weapon deals an additional 30% Fire Damage.","Eufrates II","4","","","","","","","","","","","","","","","","","","",""
"The Lamp of Blessed Petrakara","22-30","45","1","30","8-16","13","Plasma","Light of Petrakara: Blinds a creature and increases its chance to hit by (10 + Dogmatic rank)% and critical hit chance by (5 + Dogmatic rank)%.","Foulstone Colony Project","4","","","","","","","","","","","","","","","","","","",""
"Plasma pistol with cryomodule","27-37","45","1","30","8-16","13","Plasma","Reloading this weapon removes all levels of plasma chamber overheat from the character.","Sentinel Pride","4","","","","","","","","","","","","","","","","","","",""
"Incandescent Storm","33-49","60","1","30","10-20","16","Plasma","Every attack action with this plasma gun has separate cooldown. All of this plasma gun's attack actions can be used in a single turn","Tomb world Epitaph","5","","","","","","","","","","","","","","","","","","",""
"Shotgun (AoE Guns + Push / Knockdown targets in effective range)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Name","DMG","AR PEN","RoF","Recoil","Range","Ammo","Type","Description","Where","Acts","","","","","","","","","","","","","","","","","","",""
"Shotgun","10-15","10","1","","2-5","8","solid projectile","shotguns knock enemies back at effective range","Common","1","","","","","","","","","","","","","","","","","","",""
"Blactwave","10-15","10","1","","2-5","8","solid projectile","shots from this shotgun push targets 3 cells away even if the shot misses","DLC bonus in captain's quarters","1","","","","","","","","","","","","","","","","","","",""
"[Drusus prime pattern] Shotgun","21-24","20","1","","3-6","8","solid projectile","shotguns knock enemies back at effective range","Pirate  15. PF.47","2","","","","","","","","","","","","","","","","","","",""
"[Retobi-Pattern] Shotgun","24-36","10","1","","4-8","8","solid projectile","shotguns knock enemies back at effective range","Silence of Mer-Segrit system - Blades in the Void quest, talk to Merchant ship after rescuing it ","2","","","","","","","","","","","","","","","","","","",""
"Combat Shotgun","18-22","10","1","","3-6","8","solid projectile","shotguns knock enemies back at effective range","1st Footfall battle","2","","","","","","","","","","","","","","","","","","",""
"Nullifying Shotgun","12-32","15","1","","2-5","8","solid projectile","shotguns knock enemies back at effective range","Langrenn's Belt System - Plundered Station","2","","","","","","","","","","","","","","","","","","",""
"Shredder Shotgun","20-25","5","1","","3-6","8","solid projectile","Dodge Reduc +20%, shotguns knock enemies back at effective range","Footfal. Funeral","2","","","","","","","","","","","","","","","","","","",""
"Adeptus Arbites Shotgun","13-22","10","1","0","3-7","8","solid projectile","When firing a shotgun at effective range, targets are knocked back","(Lex Imperialis DLC) Solomorne","2","","","","","","","","","","","","","","","","","","",""
"Crescendo","20-23","10","1","0","3-7","8","solid projectile","When a character parries an attack or hits 2 or more enemies with an area-of-effect shot from this shotgun, they can make an additional +1 attack until the start of their next turn. This does not stack.","(Lex Imperialis DLC) Heartless","2","","","","","","","","","","","","","","","","","","",""
"Shard Shotgun","24-34","10","1","","3-6","2","solid projectile","8 toxin, targets hit with this shotgun must pass a toughness resistance test or become poisoned, suffering toxin
8 each turn ","the pit secret stash","3","","","","","","","","","","","","","","","","","","",""
"[Mars Pattern] Shotgun","27-35","10","1","0","3-7","8","solid projectile","When firing a shotgun at effective range, targets are knocked back","(Lex Imperialis DLC) Commissar / Malice Arsenal","3","","","","","","","","","","","","","","","","","","",""
"[Mars-Pattern] Combat Shotgun","18-24","10","1","","3-6","8","solid projectile","shotguns knock enemies back at effective range","","","","","","","","","","","","","","","","","","","","",""
"Double Barrel Shotgun","70-100","1","2","","2-5","2","solid projectile","Never Misses","Void 28. pf99","4","","","","","","","","","","","","","","","","","","",""
"[Sol Pattern] Shotgun","35-45","10","1","0","3-7","8","solid projectile","When firing a shotgun at effective range, targets are knocked back","(Lex Imperialis DLC) Explorators ","4","","","","","","","","","","","","","","","","","","",""
"The final chord","30-40","10","1","0","3-7","4","solid projectile","A shot from this weapon ignores the target's armor if it's the last round in the magazine. The target makes a Agility check to resist, and on a failed save, they are immobilized.","(Lex Imperialis DLC) Fellowship of the void ","4","","","","","","","","","","","","","","","","","","",""
"Advanced Adeptus Arbites Shotgun","30-40","15","1","0","3-7","8","solid projectile","When firing a shotgun at effective range, targets refuse to be knocked back","(Lex Imperialis DLC) Tithe world","4","","","","","","","","","","","","","","","","","","",""
"Scoped Shotgun","35-40","10","1","0","3-7","8","solid projectile","This weapon has an additional single attack that deals double damage and pushes the target back 5 cells. This attack has a minimum range of 2 cells, and its effective range is increased by 5 cells.","(Lex Imperialis DLC) Tithe world","4","","","","","","","","","","","","","","","","","","",""
"full auto shotgun","45-55","10","6","0","3-7","6","solid projectile","This weapon can fire a burst attack (4 AP) with a rate of fire equal to the number of rounds in the magazine. Afterward, the user is stunned for 1 round. Reloading requires 3 AP.","(Lex Imperialis DLC) Epitaph","5","","","","","","","","","","","","","","","","","","",""
"Staff (Equippable only by unique respective psyker tree. Shares same abilities with staff in same tree)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Name","DMG","","","","Range","Type","Power Lvl","Description","Where","Acts","","","","","","","","","","","","","","","","","","",""
"Diviner Staff","4-8","","","","","Divination","","WP & PER + 5","Rykad Minoris ","1","","","","","","","","","","","","","","","","","","",""
"Pyromancer's Staff","4-8","","","","","Pyro","","WP +10. ","Rykad Minoris ","1","","","","","","","","","","","","","","","","","","",""
"Charged Staff","4-8","","","","","Standard","9","WP + 10 (Standard = Lightning Arc)","Rykad Minoris, Mechanicusanicus Temple","1","","","","","","","","","","","","","","","","","","",""
"Psychic Staff","4-8","","","","","Standard","6","WP + 5","Prologue","1","","","","","","","","","","","","","","","","","","",""
"Telepath Staff","4-8","","","","","Telepath","9","WP + 10","Rykad Minoris Starport Chaos Spawn encounter ","1","","","","","","","","","","","","","","","","","","",""
"Detachment from Death","4-8","","","","","Telepath","","Allies of this Staff Wielder have their dodge increased by wielder's WP bonus","Astropath Puzzle: Something wrong with the Astropath","2","","","","","","","","","","","","","","","","","","",""
"Staff Of Endless Flame","16-21","","","","","Pyro","7","WP + 15","Pirate 7. PF30","2","","","","","","","","","","","","","","","","","","",""
"Sanctified Staff","4-8","","","","","Sanctic","5 + Resolve","Staff Ability Emperor's Wrath deals 1 to ((1 + PR) x Power lvl) Warp dmg. Dmg dealt to allies reduced by allies' resolve","Drusian 2. PF23","2","","","","","","","","","","","","","","","","","","",""
"Staff of Blood","10-13","","","","","Biomancy","9","WP + 15, TGH + 10","Kiava Gamma","2","","","","","","","","","","","","","","","","","","",""
"Imperial Staff","4-8","","","","","Sanctic","8","WP + 10, FEL + 5","Dargonus: Return to Dargonus for Drukhari","2","","","","","","","","","","","","","","","","","","",""
"Blooddrinker Staff","10-13","","","","","Biomancy","13","WP +10 PR+2, the wearer of this staff suffers bleeding damage every round equal to PR","Spyre Peak, next to Tervantias","3","","","","","","","","","","","","","","","","","","",""
"Staff of Rigtheous Pyre","16-21","","","","","Sanctic","15","Sanctic Power heals ally instead of dmging them","Drusian 29. Pf97","4","","","","","","","","","","","","","","","","","","",""
"Thought Guide","4-8","","","","","Telepath","N/A","Allies affected by wielder Psy power gains wielder WPb / 2 Resolve for 1 Round","Void 27. pf90","4","","","","","","","","","","","","","","","","","","",""
"Solar Staff","16-21","","","","","Pyro","10","For every 2 burning creature, staff power +1 and WP bonus + 2. +15 WP","Explorators 25. pf100","4","","","","","","","","","","","","","","","","","","",""
"Staff of Shock and Awe","16-21","","","","","Lightning staff","18","WP +20","Kasballica 30 pf. 118, Tomb world Epitaph - RT heretic copy ","5","","","","","","","","","","","","","","","","","","",""
"Navigator Staff [Devastating = No CD on first Navi Attack abilities and more dmg on 2nd at cost of self dmg] [Castigating = Debuff / Reduce Enemy stat per cast by power lvl] [ Infusing = Buffing / Boost stats of allies / cast by power lvl ]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Name","DMG","","RoF","","Range","Type","Power Lvl","Description","Where","Acts","","","","","","","","","","","","","","","","","","",""
"Staff of Orseillo Guardian","4-8","","","","","Infusing","5","","Eurac V","1","","","","","","","","","","","","","","","","","","",""
"Staff of House Orseillo","4-8","","","","","Castigating","5","","Eurac V","1","","","","","","","","","","","","","","","","","","",""
"Warp Guide Staff","4-8","","","","","Infusing","9","WP & PER + 10 . Allies gain Navigator PER bonus to MP first turn","Kasballica 8. PF38","2","","","","","","","","","","","","","","","","","","",""
"Red Crystal Staff","4-8","","","","","Devastating","12","1st Attack Nav Power cost -1AP. WP +15. PER +10","Kasballica 16. PF70","2","","","","","","","","","","","","","","","","","","",""
"Staff of House Cassini","4-8","","","","","Infusing","7","Allies targeted by Navi's power gain Navi's PERb / 2 MP next turn. +5 WP +10PER","Pulvis Platinum system, Gutted Voidship","2","","","","","","","","","","","","","","","","","","",""
"Bloodhound Staff","4-8","","","","","Devastating","6","","Drusian 0. PF15","2","","","","","","","","","","","","","","","","","","",""
"Staff of Orsellio Novator","16-21","","","","","Castigating / Infusing","10 / 6","First use of each Navigator power in comabt costs -1 AP (has to be equipped pre combat deployment for it work as of now)","Cassia's personal quest location","4","","","","","","","","","","","","","","","","","","",""
"Astronomicon Regalia","16-21","","","","","Infusing / Devastating","10 / 6","Whenever allies become target of navigator power that has not target them in combat, they gain 1AP next turn","Void 25. Pf81","4","","","","","","","","","","","","","","","","","","",""
"Yu'Vath Glass Staff","16-21","","","","","Devastating / Castigating","10 / 6","Enemies that suffer damage from the Navigator also gain a damage over time effect that deals damage to them at the end of their turn until the end of combat. The damage is equal to 20% of all damage they have suffered from teh navigator","Quetza Temer - You need to make peace with the Aeldari and Calligos, then go to the village after the lab and engage Calligos.","4","","","","","","","","","","","","","","","","","","",""
"Melee 1H","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Name","DMG","AR PEN","Strikes","","","","Type","Description","Where","Acts","","","","","","","","","","","","","","","","","","",""
"Knife","6-8","10","1","","","","Knife","Dodge Reduction 50","Various","0","","","","","","","","","","","","","","","","","","",""
"Axe","5-7","15","1","","","","Axe","Axes can be used to perform a special attack that inflicts bleeding on the target. Bleeding 2","Various","","","","","","","","","","","","","","","","","","","",""
"Sword","6-9","5","1","","","","Sword","""+10% Parry, -10 to enemy Melee when hitting.""","Various","0","","","","","","","","","","","","","","","","","","",""
"Chain Sword","8-10","","1","","","","Chain/Sword","25% crit damage, +10% Parry, -10 to enemy Melee when hitting.","Abelard, Warrant Chamber","","","","","","","","","","","","","","","","","","","",""
"Serrated monoknife","7-10","10","1","","","","Knife","Hitting with this knife has a chance to inflict bleeding. 50 dodge reduction","Rykadi Philia Prison","1","","","","","","","","","","","","","","","","","","",""
"[Mars Pattern] Axe","9-10","25","1","","","","Axe","Axes can be used to perform a special attack that inflicts bleeding on the target. Bleeding 2","Fellowship of the Void","1","","","","","","","","","","","","","","","","","","",""
"[Sol Pattern] Chain Sword","8-12","20","1","","","","Sword","""+10% Parry, -10 to enemy Melee when hitting.""","Fellowship of the Void","1","","","","","","","","","","","","","","","","","","",""
"[Mars Pattern] Sword","8-13","15","1","","","","","""+10% Parry, -10 to enemy Melee when hitting.""","Eurac V","1","","","","","","","","","","","","","","","","","","",""
"Bloody Pact","9-10","10","1","","","","Knife","Use Crimson Rage(0AP), Sacrifice 25% HP regain 1AP/ dodge reduction 50","Blood Spun Temple","1","","","","","","","","","","","","","","","","","","",""
"Force Sword","7-11","25","1","","","","Sword/Force","Damage increase from PR","Heinrix Recruit","1","","","","","","","","","","","","","","","","","","",""
"Noble Sword","7-12","10","1","","","","Sword","Attacks cost +1 AP, on hit aaplies disturbed effect on the target for 2 rounds, provides wieder 2 x WP more base dmg on enemies suffering from disturbed effect. +10% aprry, -10 enemy WS when hit","Rykadi Philia Prison","1","","","","","","","","","","","","","","","","","","",""
"Power Maul","7-10","30","1","","","","Mace","Maces and hammers allow you to perform a special attack that knocks back enemies","Fellowship of the Void","1","","","","","","","","","","","","","","","","","","",""
"Power Pick","10-16","45","1","","","","Pick","This weapon allows you to perform an additional attack action that increases armor penetration by 10 for all subsequent attacks on this target for 1 round. The effect is cumulative.","Freight Line","1","","","","","","","","","","","","","","","","","","",""
"Spinner's Blade","8-10","5","1","","","","Sword","""-(2 x AGI bonus)% to parrying the target. +(AGI bonus / 2)% to the wielder's critical hit chance with each attack. This bonus stacks until the end of each round.""","Kibellah Recruitment","1","","","","","","","","","","","","","","","","","","",""
"Unquenchable Fury","8-9","30","1","","","","Mace","Increase push distance 5 cells more. Collision dmg increase by 50%","VoidShip Shrine Puzzle. Spell Furia with Letters","1","","","","","","","","","","","","","","","","","","",""
"Shock Baton","6-11","15","1","","","","Mace","Maces and hammers allow you to perform a special attack that knocks back enemies","Rykad Minoris / Various","1","","","","","","","","","","","","","","","","","","",""
"[Mezoa Pattern] Sword","8-12","15","1","","","","Sword","""+10% Parry, -10 to enemy Melee when hitting.""","Rykad Minoris","1","","","","","","","","","","","","","","","","","","",""
"Officer's Chain sword","8-12","15","1","","","","Chain/Sword","25% crit damage, +10% Parry, -10 to enemy Melee when hitting.","Rykad Minoris","1","","","","","","","","","","","","","","","","","","",""
"Venom Blade","12-18","15","1","","","","Drukhari Sword","Attacks inflict poison","Rykad Majoris Scan","1","","","","","","","","","","","","","","","","","","",""
"Veilrender","8-12","25","1","","","","Sword/Force","Each critical hit scored increases veil degradation by psy rating. the next attack deals veil degradation
x psy rating more damage. sword deals additional psy rating damage","Fellowship of the Void","1","","","","","","","","","","","","","","","","","","",""
"Soulsiphon","8-12","25","1","","","","Sword/Force","if weilder is psyker hits reduce veil degradation by -1. This sword deals an additional psy rating damage","Explorators","1","","","","","","","","","","","","","","","","","","",""
"Wrath of Saint Drusus","7-10","15","1","","","","Chain/Sword","Cannot perform area attacks. Targets hit by this ability take 15% more damage from all sources for the remainder of the battle. This effect does not stack. 25% crit damage, +10% Parry, -10 to enemy Melee when hitting.","DLC, Lord Captain Chambers","1","","","","","","","","","","","","","","","","","","",""
"Shovel","9-12","25","1","","","","Primitive","This weapon deals +2 additional damage for each enemy adjacent to the character. Enemies hit are unable to make attacks of opportunity for 1 round","DLC, Rykad Minoris","1","","","","","","","","","","","","","","","","","","",""
"Reflective shield","(STR + TGH)","-","1","","","","Shield","The character gains +1 to Reflection. Shields allow the character to block attacks. The first use of Shield Bash per turn does not cost any AP. Block chance 20%","Fellowship of the void / Explorators","1","","","","","","","","","","","","","","","","","","",""
"Life-Draining Sword","9-12","15","1","","","","Primitive Sword","On a successful hit with this sword, the target must pass a Toughness resistance test with a −5 penalty. On failure, the target suffers the bleeding effect, and veil degradation is increased by +1.
Conviction — Heretical: the wielder restores wounds equal to 25% of the damage dealt to the bleeding target.
Most warriors prefer swords for they provide more flexibility on the battlefield against close combat enemies. +10% parry

−10 to enemy Weapon Skill when hit","Aurora body, starport","1","","","","","","","","","","","","","","","","","","",""
"Bloodthirster","16-24","30","","","","","Drukhari","Each hit decrease target WS,BS,STR,TGH, and PER by -5. Stacks","Dargonus: Return to Dargonus for Drukhari","2","","","","","","","","","","","","","","","","","","",""
"Scorpion Sting","17-20","15","1","","","","Drukhari","Venomous Attacks, +10%parry -10WS to enemy when hit","Vheabos surface container","2","","","","","","","","","","","","","","","","","","",""
"[Mars] Chainaxe","17-25","30","1","","","","Axe/Chain","","Langrenn's Belt, Plundered Station","2","","","","","","","","","","","","","","","","","","",""
"[Mezoa Pattern]","16-24","30","1","","","","Chain/Axe","","Gift from Calligos during Magnae Accensio - likely Footfall provion decision dependant","2","","","","","","","","","","","","","","","","","","",""
"Aeldari Chain Sword","12-24","25","1","","","","Aeldari","Strike allows movement","Janus Forest","2","","","","","","","","","","","","","","","","","","",""
"Ancient Force Sword","14-20","30","1","","","","Sword/Force","Damage increase from PR, when weilder suffers fire, power or warp damage this sword absorbs psy rating %
weilder gains psy rating armour penetration for their next attack, stacks","Latotian Passage system - Unidentified Ruins","2","","","","","","","","","","","","","","","","","","",""
"Anver Chainsword","12-16","15","1","","","","Sword/Chain","When hit, target -5% armor. Stacks","Footfall Shadow Quarters Dark Hideout","2","","","","","","","","","","","","","","","","","","",""
"[LD-Pattern] Power Pickaxe","10-20","35","1","","","","Power","This weapon allows you to perform an additional attack action that increases armor penetration by 10 for all subsequent attacks on this target for 1 round. The effect is cumulative.","Crypt","2","","","","","","","","","","","","","","","","","","",""
"Tormentor","15-20","35","1","","","","Power
Hammer","Maces and hammers allow you to perform a special attack that knocks back enemies","Drusian","2","","","","","","","","","","","","","","","","","","",""
"Bio-Dagger","15-20","10","1","","","","Primitive","6 Toxin. Each hit with this dagger increase base dmg by 1 until end of combat. Stacks didge reduction 50","Crypt: Abulation in Blood","2","","","","","","","","","","","","","","","","","","",""
"Wrath of the Vile Rabble","14-28","35","1","","","","Axe/Chain","Chain weapons gain 25% crit damage, special attack to inflict bleeding 6","Vheabos VI project reward","","","","","","","","","","","","","","","","","","","",""
"Carnage","17-27","40","1","","","","Axe/Chain","Each hit with weapon +25%crit dmg","Pirate 21. PF. 56","2","","","","","","","","","","","","","","","","","","",""
"Earthbreaker","16-23","30","1","","","","Mace","Attacks lowers target AGI, TGH, STR absolutely","Pirate 17. PF 51","2","","","","","","","","","","","","","","","","","","",""
"Elite Chainsword","14-17","20","","","","","Sword/Chain","","Drusian 1. PF 21","2","","","","","","","","","","","","","","","","","","",""
"Hardened Chainaxe","17-25","25","1","","","","Chain/Axe","Axes can be used to perform a special attack that inflicts bleeding on the target.","Langrenne Belt, Devastated Station
","2","","","","","","","","","","","","","","","","","","",""
"Epiphany","13-23","30","","","","","Power","If wearer kill enemy with Charge, Charge has no CD","Foulstone Proj.2: Bonfire of Righteousness","2","","","","","","","","","","","","","","","","","","",""
"Exotic Venom Blade","14-21","15","1","","","","Drukhari/Sword","Venomous strikes, gives +10% parry and - 10WS to enemy on hit","Jae's personal quest celebration","2","","","","","","","","","","","","","","","","","","",""
"Fractal Blade","10-20","40","1","","","","Aeldari","Parry + 25%","Adermatt II system - Recoiligers's Plot Safe","2","","","","","","","","","","","","","","","","","","",""
"Epiphany","14-20","35","1","","","","Sword / Power","If a character kills an enemy with a Charge, this ability has no cooldown.","Foulstone Colony reward","2","","","","","","","","","","","","","","","","","","",""
"Karkalla's Honour","12-21","25","1","","","","Sword / Power","360 AOE attack with +1 dmg / party member","Janus Proj. 3: Forest Fortresses","2","","","","","","","","","","","","","","","","","","",""
"Mastercrafted Power Maul","10-17","35","1","","","","Mace","","Footfall. Martyr's Endurance","2","","","","","","","","","","","","","","","","","","",""
"Poisoned Hekatarii Blade","15-17","30","1","","","","Drukhari","6 Toxin, Dodge Reduc -20","Vheabos Fight","2","","","","","","","","","","","","","","","","","","",""
"Power Axe","12-19","40","1","","","","Axe","","Mechanicus 11. PF 52","2","","","","","","","","","","","","","","","","","","",""
"Scorpion Chainsword","15-25","30","1","","","","Aeldari / Chain","","Last Chance of Cyrene: Yrliet quest end","2","","","","","","","","","","","","","","","","","","",""
"Severed Hand","16-20","35","1","","","","Drukhari/Power/Sword","Venomous strikes, gives +10% parry and - 10WS to enemy on hit","Gift during Magnae Accensio","2","","","","","","","","","","","","","","","","","","",""
