"","Level 3 :","Bring it Down !","","Level 18 :","Blurred Locus","","Level 38 :","Willpower","Base Skill: Lore Warp","","Armour","Improved armoured bodyglove","Slick Bodyglove","Slick Bodyglove","Slick Bodyglove","","","Level 3 :","Bring it Down !","","Level 18 :","Reliance","","Level 38 :","Willpower","Ebb and Flow","","Armour","Improved armoured bodyglove","Slick Bodyglove","Slick Bodyglove","Slick Bodyglove","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 4 :","Finest Hour","Lasting Impression","Level 19 :","Take and Hold","","Level 39 :","Air of authority","Lore Warp / Awareness","","Cloak","Commander Cloak","Mercy's Gift","Mercy's Gift","Mercy's Gift","","","Level 4 :","Finest Hour","Lasting Impression","Level 19 :","Orchestrated Firestorm","","Level 39 :","Reveal the Light","Lore Warp / Awareness","","Cloak","Commander Cloak","Mercy's Gift","Mercy's Gift","Mercy's Gift","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 5 :","Willpower","Mastery of Time","Level 20 :","Ap +1","Willpower","Level 40 :","Degraded Defence","Blood Augury","","Neck","Daemon Tool / Medal Of Alacrity","Medal Of Alacrity / Chain of Crystals","Medal Of Alacrity / Chain of Crystals","Medal Of Alacrity / Chain of Crystals","","","Level 5 :","Willpower","Mastery of Time","Level 20 :","Ap +1","Willpower","Level 40 :","Firebrand","Veil of Protection","","Neck","Daemon Tool / Medal Of Alacrity","Chain of Crystals","Chain of Crystals","Onslaught Amulet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 6 :","Decisive Response","Fellowship","Level 21 :","Improvised Strategy","Willpower","Level 41 :","Willpower","Inspiring speech","","Accessory 1","","Emerald Cherub Ring","Commander's Notes","Commander's Notes","","","Level 6 :","Decisive Response","Fellowship","Level 21 :","Willpower","Personal Involvement","Level 41 :","Willpower","Be Vigilant!","","Accessory 1","","Emerald Cherub Ring","Battle Plan","Commander's Chrono","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 7 :","Reveal the light","Eye of Oblivion","Level 22 :","Point of Curiosity","","Level 42 :","Held In My Gaze / Show the Path","Willpower","","Accessory 2","","Black Ring of the inquisition","Black Ring of the inquisition","Black Ring of the inquisition","","","Level 7 :","Held in my Gaze","Blood Augury","Level 22 :","Inspire","","Level 42 :","Mend Reality","Fellowship","","Accessory 2","","Black Ring of the inquisition","Black Ring of the inquisition","Black Ring of the inquisition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 8 :","Focus! / Personal Oversight","Persuasion","Level 23 :","Lore Warp","Unnatural Allure","Level 43 :","Tonicity","Advanced Skill: Lore Warp","","Gloves","Noble Silk Gloves","Thrice Pioneer's Bracers","Thrice Pioneer's Bracers","Thrice Pioneer's Bracers","","","Level 8 :","Pass Unscathed","Persuasion","Level 23 :","Unwavering Motivation","Persuasion","Level 43 :","Guide of Souls","Grenadier","","Gloves","Noble Silk Gloves","Thrice Pioneer's Bracers","Thrice Pioneer's Bracers","Thrice Pioneer's Bracers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 9 :","Finest Hour IV","","Level 24 :","Perception","Veil of Protection","Level 44 :","Persuasion","Eager Subordanates","","Boots","","Soriritas Boots / Adrenaline Warboots","Soriritas Boots / Adrenaline Warboots","Soriritas Boots / Adrenaline Warboots","","","Level 9 :","Finest Hour IV","","Level 24 :","Fellowship","Undam the Sea of Souls","Level 44 :","Persuasion","Extermination","","Boots","","Soriritas Boots","Soriritas Boots","Soriritas Boots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 10 :","Lore Warp","Fellowship","Level 25 :","Fire at Will","","Level 45 :","AP +1","","","Weapon Set 1","Staff Orsellio Guardian","Warp Guide Staff","Warp Guide Staff","Astronomican Regalia","","","Level 10 :","Lore Warp / Awareness","Fellowship","Level 25 :","Hidden Advantage","","Level 45 :","AP +1","","","Weapon Set 1","Staff Orsellio Guardian","Warp Guide Staff","Warp Guide Staff","Astronomican Regalia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 11 :","Mind over Matter","Perception","Level 26 :","Perception","Lore Warp","Level 46 :","Personal Oversight / Focus!","Persuasion","","","","","","","","","Level 11 :","Focus!","Perception","Level 26 :","Persuasion","Fellowship","Level 46 :","Steel Resolve","Persuasion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 12 :","Zone of Fear","Strange Vitality","Level 27 :","Take and Hold IV","","Level 47 :","Steel Resolve","Lore Warp / Awareness","","Weapon Set 2","Staff House Orsellio","Red Crystal Staff","Red Crystal Staff","Benetek's Rest","","","Level 12 :","Air of Authority","Strange Vitality","Level 27 :","Orchestrated Firestorm II","","Level 47 :","Leader's Assault","Lore Warp / Awareness","","Weapon Set 2","Staff House Orsellio","Red Crystal Staff","Red Crystal Staff","Benetek's Rest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 13 :","Undam The Sea of Souls","Lore Warp","Level 28 :","Ebb and Flow","Fellowship","Level 48 :","Strategic Offensive","Fellowship","","","","","","","","","Level 13 :","Inspiring Speech","Lore Warp / Awareness","Level 28 :","Against All Odds","","Level 48 :","Comfort in Conformity","Fellowship","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 14 :","Perception","Pass Unscathed","Level 29 :","Fellowship","Persuasion","Level 49 :","Fellowship","Lore Warp / Awareness","","","","","","","","","Level 14 :","Perception","Eye of Oblivion","Level 29 :","Lore Warp / Awareness","Perception","Level 49 :","Perception","Lore Warp / Awareness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 15 :","Finest Hour I","","Level 30 :","Mend Reality","","Level 50 :","Eager for Battle","Be Vigilant!","","","","","","","","","Level 15 :","Finest Hour I","","Level 30 :","Mind Over Matter","Fervour","Level 50 :","Eager Subordanates","Armour of Contempt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 31 :","Guide of Souls","Threads and Faults","Level 51 :","Personal Zone","Awareness / Lore Warp","","","","","","","","","","","","Level 31 :","Brink of Death","","Level 51 :","Stand Resolute","Lore Warp / Awareness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 32 :","Persuasion","Intelligence","Level 52 :","Stable Routes","Open to the warp","","","","","","","","","","","","Level 32 :","Perception","Lore Warp / Awareness","Level 52 :","Seize the initiative","Stable Routes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 33 :","Intelligence","The Course Untravelled","Level 53 :","Warp Curse Unleashed","Perception","","","","","","","","","","","","Level 33 :","In The Hero's Footsteps","","Level 53 :","Immolate the Soul","Perception","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 34 :","Grenadier","","Level 54 :","Combat Meditation","Unblinking Stare","","","","","","","","","","","","Level 34 :","Willpower","Unnatural Allure","Level 54 :","Eager for battle","Unblinking Stare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 35 :","Take and Hold III","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Orchestrated Firestorm III","","Level 55 :","AP +1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Pasqal Haneumann - Dominus","","","","","","","","","","Skill Options","","","","","","","Pasqal Haneumann - Motive Force Assassin","","","","","","","","","","Skill Options","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","With the operative buffs, plasma buffs and correct use of overcharge protocols this build is now obscenely powerful. MSSP: Machine Spirit Scan Protocols","","","","","","","","","","Tech-Use / Logic / Lore Imperium / Lore Xenos / Medicae / Awareness","","","","","","","With the operative buffs, plasma buffs and correct use of overcharge protocols this build is now obscenely powerful. If only a player could use overcharge protocols for a MC build.","","","","","","","","","","Tech-Use / Logic / Lore Imperium / Lore Xenos / Medicae / Awareness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Operative","","","Bounty Hunter","","","Exemplar","","","","","","","","","","","Operative","","","Assassin","","","Exemplar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 1 :","Analyse Enemies","","Level 16 :","Hunt Down The Prey","","Level 36 :","Deathdealer","Fresh Target","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Analyse Enemies","","Level 16 :","Seek the Opening","","Level 36 :","Malign Influence","Fresh Target","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 2 :","Tech-Use","","Level 17 :","Claim the Bounty","","Level 37 :","Tech-Use ","Share the Spoils","","Helm","Deck Officer's Helmet","Self-Calibrating goggles","Analyst Helmet","Self-Calibrating Helm","","","Level 2 :","Tech-Use","","Level 17 :","Death Whisper","","Level 37 :","Tech-Use / Awareness","Lethal Concentration","","Helm","Deck Officer's Helmet","Self-Calibrating goggles","Analyst Helmet","Self-Calibrating Helm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 3 :","Expose Weakness","","Level 18 :","Hunting Surge","","Level 38 :","Ballistic Skill","Lethal Precision","","Armour","War World Flak Chestplate","Adaptive Flak Vest","Adaptive Flak Vest","[Hive world Origin] Voidsmen Armour","","","Level 3 :","Expose Weakness","","Level 18 :","Deadly Calculation","","Level 38 :","Ballistic Skill","Lethal Precision","","Armour","War World Flak Chestplate","Adaptive Flak Vest","Adaptive Flak Vest","Forge World Origin Skiitari Ranger Armour","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 4 :","Dismantling","Passive learning","Level 19 :","Wild Hunt","","Level 39 :","Joint Analysis","Tech-Use ","","Cloak","Emergency Injector","Zealot Cloak","Xeno Emitter","Xeno Emitter","","","Level 4 :","Dismantling","Passive learning","Level 19 :","Dispatch","","Level 39 :","Precise Attack","Tech-Use / Awareness","","Cloak","Emergency Injector","Zealot Cloak","Xeno Emitter","Xeno Emitter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 5 :","Ballistic Skill","Aiming Protocols","Level 20 :","AP +1 - Ballistic Skill","Safety Training / MSSP","Level 40 :","Extermination","Flay the bold","","Neck","Hypnotising Pendant","Tarnished Breacher's Aquila","Sage Necklace","Synpatic Coagulator","","","Level 5 :","Ballistic Skill","Aiming Protocols","Level 20 :","AP +1","Ballistic Skill","Level 40 :","Deathdealer","Bringer of Doom","","Neck","Hypnotising Pendant","Tarnished Breacher's Aquila","Sage Necklace","Synpatic Coagulator","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 6 :","Uncanny Sight","Intelligence","Level 21 :","Ballistic Skill","Hunter's Ambush","Level 41 :","Ballistic Skill","Continuous Analysis","","Accessory 1","Metronome","Metronome","Metronome","Vid-Capture Relay","","","Level 6 :","Uncanny Sight","Intelligence","Level 21 :","Imminent Demise","Ballistic Skill","Level 41 :","Ballistic Skill","Continuous Analysis","","Accessory 1","Metronome","Metronome","Metronome","Notes On Weaknesses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 7 :","Tactical Knowledge","Tech-Use","Level 22 :","Cull the bold","","Level 42 :","Piercing Shot","Intelligence","","Accessory 2","","Shifting Combi-Tool","Long-Range Aim Lens","Long-Range Aim Lens","","","Level 7 :","Tactical Knowledge","Tech-Use","Level 22 :","Tech-Use / Awareness","Killing Edge","Level 42 :","Poised to Strike","Intelligence","","Accessory 2","","Shifting Combi-Tool","Long-Range Aim Lens","Long-Range Aim Lens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 8 :","Improved Tactics","External Power Block","Level 23 :","Heightened Concentration","Tech-Use ","Level 43 :","Pierce and Ruin","Calculated Resolve","","Gloves","","Plasmashaper Gloves","Plasmashaper Gloves","Plasmashaper Gloves","","","Level 8 :","Improved Tactics","Overclocking Module","Level 23 :","Lethality Heightens","","Level 43 :","Flawless Lunge","Exposing Communion","","Gloves","","Plasmashaper Gloves","Plasmashaper Gloves","Plasmashaper Gloves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 9 :","Dismantling III","Medicae","Level 24 :","Intelligence","Scanner Mechadendrite","Level 44 :","Logic / Lore Xenos","Degraded Defence","","Boots","","Sororitas Boots","Sororitas Boots / Sharpshooter Boots","Sororitas Boots / Sharpshooter Boots","","","Level 9 :","Dismantling III","Medicae","Level 24 :","Perception","Scanner Mechadendrite","Level 44 :","Logic / Lore Xenos","Masterful Precision","","Boots","","Sororitas Boots","Sororitas Boots / Sharpshooter Boots","Sororitas Boots / Sharpshooter Boots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 10 :","Logic / Lore Xenos","Perception","Level 25 :","Savour the kill","","Level 45 :","AP +1","","","Weapon Set 1","Omnissian Axe","C-Delphin Pattern Omnissian Axe","C-Delphin Pattern Omnissian Axe","Omnissiah's Providence","","","Level 10 :","Logic / Lore Xenos","Perception","Level 25 :","Create an opening","","Level 45 :","AP +1","","","Weapon Set 1","Omnissian Axe","C-Delphin Pattern Omnissian Axe","C-Delphin Pattern Omnissian Axe","Omnissiah's Providence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 11 :","Tide of Excellence","Logic / Lore Xenos","Level 26 :","Tech-Use ","Perception","Level 46 :","Comprehensive Analysis","Logic / Lore Xenos","","","","","","","","","Level 11 :","Tide of Excellence","Logic / Lore Xenos","Level 26 :","Perception","Tech-Use / Awareness","Level 46 :","Comprehensive Analysis","Logic / Lore Xenos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 12 :","Perfect Spot","Plasma Bank","Level 27 :","Wild Hunt II","","Level 47 :","Sniper Expertise","Lore Xenos / Logic","","Weapon Set 2","Plasma Gun / Sniper Rifle","The glow of the dead stars","Stella Neutrona","Ragefire Plasma Gun","","","Level 12 :","Perfect Spot","Staggering Jolt","Level 27 :","Dispatch II","","Level 47 :","Insightful Percision","Medicae","","Weapon Set 2","Arc Rifle","Alpha's Arc Rifle","Alpha's Arc Rifle","Arc Rifle Mindstorm / Corpuscarii Oath","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 13 :","Ballistic Calculations","Perception","Level 28 :","Expert Finesse (party deadly)","","Level 48 :","Pierce the Armour","Intelligence","","","","","","","","","Level 13 :","Ballistic Calculations","Perception","Level 28 :","Pulse Amplifier","Perfect Opening","Level 48 :","An Eye for the unscathed ","Intelligence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 14 :","Intelligence","Overcharge Protocols","Level 29 :","Logic / Lore Xenos","Perception","Level 49 :","Perception","Lore Xenos / Logic","","","","","","","","","Level 14 :","Intelligence","Residual Charge","Level 29 :","Intelligence","Logic / Lore Xenos","Level 49 :","Perception","Medicae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 15 :","Dismantling II","","Level 30 :","Filtering Protocols","Hot on the trail","Level 50 :","Deadly Aim","Weak Body, Weak Soul","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Dismantling II","","Level 30 :","Danse Macabre","","Level 50 :","Extermination / Degraded Defence","Weak Body, Weak Soul","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 31 :","Inspiring Trophy","","Level 51 :","Exposing Communion","Lore Xenos / Logic","","Ballistic Calculator (can kill allies)","Accumulator Node","Cerebral Inverter MK-I","","","Adaptive Servo-Struts MK Operative","Act 2","","","","Level 31 :","Echopulse","Dissary","Level 51 :","Lone Killer","Medicae","","Ballistic Calculator (can kill allies)","Accumulator Node","Cerebral Inverter MK-I","","","Adaptive Servo-Struts MK Operative","Act 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 32 :","Intelligence","Logic / Lore Xenos","Level 52 :","Sharpshooter","Residual Power","","","Neural System Graft MK-I","","","","Adaptive Servo-Struts MK Operative","Act 3","","","","Level 32 :","Logic / Lore Xenos","","Level 52 :","Sharpshooter","Residual Power","","","Neural System Graft MK-I","","","","Adaptive Servo-Struts MK Operative","Act 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 33 :","Trail and Shatter","","Level 53 :","Precise Attack","Perception","","Focal Emitter MK Soldier","Regeneration Matrix","Cerebral Inverter MK Hunter","Remote revitaliser mk II","Chymist combat infuser mk hunter","Adaptive Servo-Struts MK Operative","Act 4","","","","Level 33 :","Seize the advantage","Intelligence","Level 53 :","Joint Analysis","Perception","","Focal Emitter MK Soldier","Regeneration Matrix","Cerebral Inverter MK Hunter","Remote revitaliser mk II","Chymist combat infuser mk hunter","Adaptive Servo-Struts MK Operative","Act 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 34 :","Pinnacle of Weaponry","","Level 54 :","Eager for Battle","Insightful Percision","","","","","","","","Act 5","","","","Level 34 :","Liturgy of Insulation","","Level 54 :","Vital Points","Sniper Expertise","","","","","","","","Act 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 35 :","Wild Hunt III","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Dispatch I","","Level 55 :","AP +1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Heinrix van Calox - Inquisition Interrogator","","","","","","","","","","Skill Options","","","","","","","Heinrix Inquisition Assassin","","","","","","","","","","Skill Options","","","","","","","Heinrix the Channeller of the Golden Throne","","","","","","","","","","Skill Options","","","","","","","Heinrix van Calox - Hammer of the Inquisition","","","","","","","","","","Skill Options","","","","","","","Heinrix the Psi-Assassin","","","","","","","","","","Skill Options","","","","","","","Heinrix van Calox - Force Sword Duellist","","","","","","","","","","Skill Options","","","","",""
"","Respec heavy armour to power armour when available in act 3/4 - less buff intensive than the previous heinrix to benefit from the change of augments, swap to fire storm with power armour","","","","","","","","","","Athletics / Carouse / Medicae / Demolitions / Lore Xenos","","","","","","","Non Pyromancy, Non Sword of Faith Assassin Build","","","","","","","","","","Athletics / Carouse / Medicae / Demolitions / Lore Xenos","","","","","","","More Buffer focused Heinrix - You can change tier 3 to pick up Divination to then get prescience and drop the pyromancy talents if you want to focus even more on buffing","","","","","","","","","","Athletics / Carouse / Medicae / Demolitions / Lore Xenos","","","","","","","Basic 2h Henrix Arch-Militant build for frontline play","","","","","","","","","","Athletics / Carouse","","","","","","","Sword of Faith Build - Have fun with Shimmering Emulsion - Unironically buffed by degraded defence nerf","","","","","","","","","","Athletics / Carouse / Medicae / Demolitions / Lore Xenos","","","","","","","For those that really just want to stack raw damage onto force swords whilst playing arch-militant & not worry about how psy powers work","","","","","","","","","","Athletics / Carouse","","","","",""
"","Warrior","","","Executioner","","","Exemplar","","","","","","","","","","","Warrior","","","Assassin","","","Exemplar","","","","","","","","","","","Warrior","","","Overseer","","","Exemplar","","","","","","","","","","","Warrior","","","Arch-Militant","","","Exemplar","","","","","","","","","","","Warrior","","","Assassin","","","Exemplar","","","","","","","","","","","Warrior","","","Arch-Militant","","","Exemplar","","","","","","","","",""
"","Level 1 :","Charge","","Level 16 :","Forced Repentance","Scourging Strike + Where it hurts","Level 36 :","Peak Condition","Easy Target","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Charge","","Level 16 :","Seek the Opening","","Level 36 :","Malign Influence","Ramming Speed","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Charge","","Level 16 :","Psyber-Raven Proficiency","","Level 36 :","Peak Condition","Easy Target","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Charge","","Level 16 :","Versitility","","Level 36 :","Peak Condition","Easy Target","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Charge","","Level 16 :","Seek the Opening","","Level 36 :","Malign Influence","Crowd Kill","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Charge","","Level 16 :","Versitility","","Level 36 :","Peak Condition","Easy Target","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5"
"","Level 2 :","Coercion","","Level 17 :","Orchestrate Flame","","Level 37 :","Medicae","Fragile Playthings","","Helm","Tactical Goggles","Mechanicus Respirator","Mechanicus Respirator","Eyes of Joyeuse","","","Level 2 :","Coercion","","Level 17 :","Danse Macabre","","Level 37 :","Athletics","Lethal Concentration","","Helm","Tactical Goggles","Self-Calibrating Goggles","Self-Calibrating Goggles","Self-Calibrating Goggles","","","Level 2 :","Coercion","","Level 17 :","Warp Speed","","Level 37 :","Athletics","Edge of Dawn","","Helm","Tactical Goggles","Thassertium Mask","Thassertium Mask","Eyes of Joyeuse","","","Level 2 :","Coercion","","Level 17 :","Reckless Rush","","Level 37 :","Athletics","Contempt for the weak","","Helm","","Thassertium Mask","Thassertium Mask","Eyes of Joyeuse","","","Level 2 :","Coercion","","Level 17 :","Danse Macabre","","Level 37 :","Athletics / Lore Xenos","Lethal Concentration","","Helm","Tactical Goggles","Self-Calibrating Goggles","Self-Calibrating Goggles","Self-Calibrating Goggles","","","Level 2 :","Coercion","","Level 17 :","Reckless Rush","","Level 37 :","Athletics","Martial Art","","Helm","","Thassertium Mask","Thassertium Mask","Eyes of Joyeuse",""
"","Level 3 :","Endure","","Level 18 :","Anatomy Expert","","Level 38 :","Weapon Skill","Base Skill: Medicae","","Armour","Casing Chestplate","Zarkovian Soldier's Armour","Zarkovian Soldier's Armour","Adherent of Mankind","","","Level 3 :","Endure","","Level 18 :","Deadly Calculation","","Level 38 :","Weapon Skill","Edge of Dawn","","Armour","Casing Chestplate","Death World Origin Enforcer's Light carapace","Death World Origin Enforcer's Light carapace","High Spinner Armour","","","Level 3 :","Endure","","Level 18 :","Destined","","Level 38 :","Weapon Skill","Deterioration","","Armour","Casing Chestplate","Psyker's Breastplate","Psyker's Breastplate","Psyker's Breastplate","","","Level 3 :","Endure","","Level 18 :","Always Ready","","Level 38 :","Weapon Skill","Lethal Precision","","Armour","Ceramite Storm Trooper","Fortress World Tempestus Carapace","Adherent of Mankind","Sanguine Judgement","","","Level 3 :","Endure","","Level 18 :","Deadly Calculation","","Level 38 :","Weapon Skill","Edge of Dawn","","Armour","Casing Chestplate","Death World Origin Enforcer's Light carapace","Death World Origin Enforcer's Light carapace","High Spinner Armour","","","Level 3 :","Endure","","Level 18 :","Always Ready","","Level 38 :","Weapon Skill","Lethal Precision","","Armour","Ceramite Storm Trooper","Fortress World Tempestus Carapace","Adherent of Mankind","Sanguine Judgement / Adherent of Mankind",""
"","Level 4 :","Daring Breach","Rigorous Training","Level 19 :","Carnival of Misery","","Level 39 :","Hammer of the Emperor / Warp Speed","Medicae","","Cloak","Rogue Trader's Cloak","Swashbuckler Cloak / Pack of Reagents","Swashbuckler Cloak / Pack of Reagents","Swashbuckler Cloak / Pack of Reagents","","","Level 4 :","Daring Breach","Rigorous Training","Level 19 :","Dispatch","","Level 39 :","Reckless Strike","Athletics","","Cloak","Rogue Trader's Cloak","Swashbuckler Cloak","Swashbuckler Cloak","Swashbuckler Cloak","","","Level 4 :","Daring Breach","Rigorous Training","Level 19 :","Overcharge","","Level 39 :","Pyromancy","Athletics","","Cloak","Rogue Trader's Cloak","Malpian Shroud","Malpian Shroud","Singed Cloak","","","Level 4 :","Daring Breach","Rigorous Training","Level 19 :","Steady Superiority","","Level 39 :","Shield of the Emperor","Athletics","","Cloak","Xenopelt Cloak","Malpian Shroud","Malpian Shroud","Malpian Shroud","","","Level 4 :","Daring Breach","Rigorous Training","Level 19 :","Dispatch","","Level 39 :","Pyromancy","Athletics / Lore Xenos","","Cloak","Rogue Trader's Cloak","Swashbuckler Cloak","Swashbuckler Cloak","Swashbuckler Cloak","","","Level 4 :","Daring Breach","Rigorous Training","Level 19 :","Steady Superiority","","Level 39 :","Sworn Enemy","Athletics","","Cloak","Xenopelt Cloak","Malpian Shroud","Malpian Shroud","Malpian Shroud / Swashbuckler's Cloak",""
